,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,genre
0,0.741,0.739,11,-4.627,0,0.0386,0.00541,0.0269,0.0496,0.425,126.008,audio_features,0ikuoejgnBNitqFArW6fFk,spotify:track:0ikuoejgnBNitqFArW6fFk,https://api.spotify.com/v1/tracks/0ikuoejgnBNitqFArW6fFk,https://api.spotify.com/v1/audio-analysis/0ikuoejgnBNitqFArW6fFk,262857,4,Dark River - Festival Version,Sebastian Ingrosso,absolute music
1,0.649,0.973,6,-4.391,1,0.0882,0.000639,0.662,0.133,0.221,127.951,audio_features,4nrK0G6pOEuhMxn3hAaava,spotify:track:4nrK0G6pOEuhMxn3hAaava,https://api.spotify.com/v1/tracks/4nrK0G6pOEuhMxn3hAaava,https://api.spotify.com/v1/audio-analysis/4nrK0G6pOEuhMxn3hAaava,279375,4,Derp - Original Mix,Bassjackers,absolute music
2,0.791,0.862,9,-3.24,0,0.11,0.037,2.19E-05,0.0814,0.592,123.994,audio_features,7ef4DlsgrMEH11cDZd32M6,spotify:track:7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/tracks/7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6,214847,4,One Kiss (with Dua Lipa),Calvin Harris,absolute music
3,0.738,0.861,2,-4.141,1,0.237,0.318,0.00182,0.325,0.58,131.98,audio_features,0M98PvIvx7vZ8LDpzMw1hB,spotify:track:0M98PvIvx7vZ8LDpzMw1hB,https://api.spotify.com/v1/tracks/0M98PvIvx7vZ8LDpzMw1hB,https://api.spotify.com/v1/audio-analysis/0M98PvIvx7vZ8LDpzMw1hB,189052,4,Kill This Love,BLACKPINK,absolute music
4,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,audio_features,3AzjcOeAmA57TIOr9zF1ZW,spotify:track:3AzjcOeAmA57TIOr9zF1ZW,https://api.spotify.com/v1/tracks/3AzjcOeAmA57TIOr9zF1ZW,https://api.spotify.com/v1/audio-analysis/3AzjcOeAmA57TIOr9zF1ZW,193829,4,Physical,Dua Lipa,absolute music
5,0.737,0.828,11,-4.711,1,0.0396,0.0149,0.000588,0.0862,0.517,124.051,audio_features,0qaWEvPkts34WF68r8Dzx9,spotify:track:0qaWEvPkts34WF68r8Dzx9,https://api.spotify.com/v1/tracks/0qaWEvPkts34WF68r8Dzx9,https://api.spotify.com/v1/audio-analysis/0qaWEvPkts34WF68r8Dzx9,208474,4,Turn Me On (feat. Vula),Riton,absolute music
6,0.619,0.979,5,-6.194,0,0.108,0.0277,0.06,0.296,0.13,130.009,audio_features,0gv9o9mPK1JQeZd3eMFdTa,spotify:track:0gv9o9mPK1JQeZd3eMFdTa,https://api.spotify.com/v1/tracks/0gv9o9mPK1JQeZd3eMFdTa,https://api.spotify.com/v1/audio-analysis/0gv9o9mPK1JQeZd3eMFdTa,238128,4,Lightning Strikes,Steve Aoki,absolute music
7,0.649,0.784,6,-4.266,0,0.0325,0.00568,0.000474,0.0878,0.289,127.985,audio_features,3pjTUpj3ynq6DFlyAXslvi,spotify:track:3pjTUpj3ynq6DFlyAXslvi,https://api.spotify.com/v1/tracks/3pjTUpj3ynq6DFlyAXslvi,https://api.spotify.com/v1/audio-analysis/3pjTUpj3ynq6DFlyAXslvi,282041,4,Invincible - Original Mix,Borgeous,absolute music
8,0.842,0.488,11,-7.856,0,0.0844,0.218,0.00718,0.0877,0.647,126.019,audio_features,2dQzfKRaMKUCQgMpOtpLTh,spotify:track:2dQzfKRaMKUCQgMpOtpLTh,https://api.spotify.com/v1/tracks/2dQzfKRaMKUCQgMpOtpLTh,https://api.spotify.com/v1/audio-analysis/2dQzfKRaMKUCQgMpOtpLTh,164955,4,Bella ciao - HUGEL Remix,El Profesor,absolute music
9,0.511,0.971,3,-2.956,0,0.236,0.00495,0.0147,0.171,0.56,140.048,audio_features,2OmTzSUtti3Z1WjiiEnF26,spotify:track:2OmTzSUtti3Z1WjiiEnF26,https://api.spotify.com/v1/tracks/2OmTzSUtti3Z1WjiiEnF26,https://api.spotify.com/v1/audio-analysis/2OmTzSUtti3Z1WjiiEnF26,182700,4,SHIVA (Sunburn 2017 Anthem) [feat. The Golden Army],KSHMR,absolute music
